month,actual,forecast,absolute_error,model,condition
1959-03,406.0,347.629,58.371,BiLSTM,RNN - differencing
1959-04,396.0,419.151,23.151,BiLSTM,RNN - differencing
1959-05,420.0,417.795,2.205,BiLSTM,RNN - differencing
1959-06,472.0,448.115,23.885,BiLSTM,RNN - differencing
1959-07,548.0,498.357,49.643,BiLSTM,RNN - differencing
1959-08,559.0,519.73,39.27,BiLSTM,RNN - differencing
1959-09,463.0,476.519,13.519,BiLSTM,RNN - differencing
1959-10,407.0,389.43,17.57,BiLSTM,RNN - differencing
1959-11,362.0,368.854,6.854,BiLSTM,RNN - differencing
1959-12,405.0,371.029,33.971,BiLSTM,RNN - differencing
1960-01,417.0,427.418,10.418,BiLSTM,RNN - differencing
1960-02,391.0,425.848,34.848,BiLSTM,RNN - differencing
1960-03,419.0,391.511,27.489,BiLSTM,RNN - differencing
1960-04,461.0,424.949,36.051,BiLSTM,RNN - differencing
1960-05,472.0,475.595,3.595,BiLSTM,RNN - differencing
1960-06,535.0,494.972,40.028,BiLSTM,RNN - differencing
1960-07,622.0,562.094,59.906,BiLSTM,RNN - differencing
1960-08,606.0,597.363,8.637,BiLSTM,RNN - differencing
1960-09,508.0,515.898,7.898,BiLSTM,RNN - differencing
1960-10,461.0,413.531,47.469,BiLSTM,RNN - differencing
1960-11,390.0,386.429,3.571,BiLSTM,RNN - differencing
1960-12,432.0,356.89,75.11,BiLSTM,RNN - differencing
